OID,site,plot,ANPP,MAT,MASM,CLAY,LIG,N,CN,fW,treatment,soilGWC,cum_LitterCMin,soilpH,sir,sir_mlC,microbialBiomassC_perg,microbialBiomassC
171,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,47.81859592,6.54,8.564823974,0.016020995,1.011480643,0.252870161
172,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,60.60242609,6.54,8.564823974,0.016020995,1.011480643,0.252870161
173,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,61.6663498,6.54,8.564823974,0.016020995,1.011480643,0.252870161
174,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,59.29086056,6.54,8.564823974,0.016020995,1.011480643,0.252870161
175,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,47.01478458,6.54,8.564823974,0.016020995,1.011480643,0.252870161
176,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,54.61974254,6.54,8.564823974,0.016020995,1.011480643,0.252870161
177,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,52.90086608,6.54,8.564823974,0.016020995,1.011480643,0.252870161
178,SCBI,31,750,20,,15,21,1,49,0.35,35,35.09518123,121.8622755,7.006666667,4.36352669,0.008162227,0.696815579,0.174203895
179,SCBI,31,750,20,38,15,21,1,49,0.6,60,35.09518123,70.92336145,7.006666667,4.36352669,0.008162227,0.696815579,0.174203895
180,SCBI,31,750,20,,15,21,1,49,1,100,35.09518123,45.03977297,7.006666667,4.36352669,0.008162227,0.696815579,0.174203895
181,SCBI,32,750,20,,15,21,1,49,0.35,35,59.45763653,136.998105,5.69,27.3597052,0.0511779,2.419163105,0.604790776
182,SCBI,32,750,20,38,15,21,1,49,0.6,60,59.45763653,80.17000864,5.69,27.3597052,0.0511779,2.419163105,0.604790776
183,SCBI,32,750,20,,15,21,1,49,1,100,59.45763653,60.54169382,5.69,27.3597052,0.0511779,2.419163105,0.604790776
184,SCBI,35,750,20,,15,21,1,49,0.35,35,43.69962912,88.56460315,6.893333333,8.501104278,0.015901804,1.006708222,0.251677055
185,SCBI,35,750,20,38,15,21,1,49,0.6,60,43.69962912,64.26269609,6.893333333,8.501104278,0.015901804,1.006708222,0.251677055
186,SCBI,35,750,20,,15,21,1,49,1,100,43.69962912,63.11831936,6.893333333,8.501104278,0.015901804,1.006708222,0.251677055
187,SCBI,37,750,20,,15,21,1,49,0.35,35,31.97316924,121.3154666,6.273333333,6.179017284,0.011558207,0.832790595,0.208197649
188,SCBI,37,750,20,38,15,21,1,49,0.6,60,31.97316924,57.55201961,6.273333333,6.179017284,0.011558207,0.832790595,0.208197649
189,SCBI,37,750,20,,15,21,1,49,1,100,31.97316924,54.16767025,6.273333333,6.179017284,0.011558207,0.832790595,0.208197649
190,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,54.17821805,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
191,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,130.7606616,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
192,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,71.94759927,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
193,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,63.78956244,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
194,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,116.583901,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
195,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,61.06739657,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
196,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,142.7652599,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
197,SCBI,38,750,20,,15,21,1,49,0.35,35,30.02041251,69.95550203,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
198,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,60.50112645,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
199,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,61.30081616,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
200,SCBI,38,750,20,38,15,21,1,49,0.6,60,30.02041251,52.05221933,7.006666667,4.30585137,0.008054342,0.692495864,0.173123966
