site,plot,treatment,cum_LitterCMin,soilGWC,soilpH,sir,percent.N,percent.C,C_N,bulkdensity,soilWHC,sir_mlC,microbialBiomassC_perg,microbialBiomassC
HARV,7,100,44.2156922507922,70.4735538546982,4.193333333333333,14.55444648763873,1.135,30.61,27.05,0.0918995623971539,82.15857761002749,0.027224927960416628,1.460086115535082,0.3650215288837705
HARV,9,35,43.2420054364872,36.22279585331203,4.376666666666667,6.302684000670653,0.36,10.149999999999999,28.25,0.289782134110094,60.246436127804955,0.011789532361897965,0.8420528757703944,0.2105132189425986
HARV,9,60,53.4903149521438,36.22279585331203,4.376666666666667,6.302684000670653,0.36,10.149999999999999,28.25,0.289782134110094,60.246436127804955,0.011789532361897965,0.8420528757703944,0.2105132189425986
HARV,9,100,36.6967991477131,36.22279585331203,4.376666666666667,6.302684000670653,0.36,10.149999999999999,28.25,0.289782134110094,60.246436127804955,0.011789532361897965,0.8420528757703944,0.2105132189425986
SCBI,14,35,121.501718289818,41.325011838624334,6.4366666666666665,9.236364687404468,1.05,16.13,15.4,0.445750192830564,62.29701795109745,0.017277150556312133,1.0617771082747378,0.26544427706868445
SCBI,14,60,87.565747727599,41.325011838624334,6.4366666666666665,9.236364687404468,1.05,16.13,15.4,0.445750192830564,62.29701795109745,0.017277150556312133,1.0617771082747378,0.26544427706868445
SCBI,14,100,56.3910185464026,41.325011838624334,6.4366666666666665,9.236364687404468,1.05,16.13,15.4,0.445750192830564,62.29701795109745,0.017277150556312133,1.0617771082747378,0.26544427706868445
SCBI,17,35,106.527700513152,34.6095418058131,6.8,4.26183857431738,0.435,5.38,12.350000000000001,0.659692389828556,47.83463669655945,0.007972013794084139,0.6891994323151289,0.17229985807878223
SCBI,17,60,63.3434439371946,34.6095418058131,6.8,4.26183857431738,0.435,5.38,12.350000000000001,0.659692389828556,47.83463669655945,0.007972013794084139,0.6891994323151289,0.17229985807878223
SCBI,17,100,45.2360234410022,34.6095418058131,6.8,4.26183857431738,0.435,5.38,12.350000000000001,0.659692389828556,47.83463669655945,0.007972013794084139,0.6891994323151289,0.17229985807878223
SCBI,2,35,41.2863912608891,35.3897486562235,7.04,3.443804435553887,0.51,6.205,12.2,0.55561056502366,46.7354814197633,0.006441833961006148,0.6279310317986861,0.15698275794967154
SCBI,2,60,60.6974320271386,35.3897486562235,7.04,3.443804435553887,0.51,6.205,12.2,0.55561056502366,46.7354814197633,0.006441833961006148,0.6279310317986861,0.15698275794967154
SCBI,2,100,61.8883247975878,35.3897486562235,7.04,3.443804435553887,0.51,6.205,12.2,0.55561056502366,46.7354814197633,0.006441833961006148,0.6279310317986861,0.15698275794967154
SCBI,21,35,104.034653093763,36.033198256915036,7.25,4.786610158797377,0.645,8.485,13.149999999999999,0.732340924289468,51.8227501478988,0.008953629178446271,0.7285033123049887,0.18212582807624716
SCBI,21,60,65.4183939649009,36.033198256915036,7.25,4.786610158797377,0.645,8.485,13.149999999999999,0.732340924289468,51.8227501478988,0.008953629178446271,0.7285033123049887,0.18212582807624716
SCBI,21,100,59.7772633451839,36.033198256915036,7.25,4.786610158797377,0.645,8.485,13.149999999999999,0.732340924289468,51.8227501478988,0.008953629178446271,0.7285033123049887,0.18212582807624716
SCBI,24,35,128.066486056557,34.82123162294733,6.763333333333334,5.01990990846263,0.535,7.245,13.5,0.592442301372737,49.5779726073726,0.009390029757692908,0.745976791498024,0.186494197874506
SCBI,24,60,67.1272565796117,34.82123162294733,6.763333333333334,5.01990990846263,0.535,7.245,13.5,0.592442301372737,49.5779726073726,0.009390029757692908,0.745976791498024,0.186494197874506
SCBI,24,100,54.6389849567211,34.82123162294733,6.763333333333334,5.01990990846263,0.535,7.245,13.5,0.592442301372737,49.5779726073726,0.009390029757692908,0.745976791498024,0.186494197874506
SCBI,26,35,135.652772554661,36.0864675007874,6.9399999999999995,5.5976408435279295,0.65,8.375,12.85,0.587184189582376,52.372671143366446,0.010470708648574502,0.7892471742889231,0.19731179357223078
SCBI,26,60,73.3487878101085,36.0864675007874,6.9399999999999995,5.5976408435279295,0.65,8.375,12.85,0.587184189582376,52.372671143366446,0.010470708648574502,0.7892471742889231,0.19731179357223078
SCBI,26,100,50.2013646338448,36.0864675007874,6.9399999999999995,5.5976408435279295,0.65,8.375,12.85,0.587184189582376,52.372671143366446,0.010470708648574502,0.7892471742889231,0.19731179357223078
SCBI,27,35,143.405397303786,33.432625672736165,5,5.37746402847635,0.51,8.19,16,0.484256747778848,50.7278648944732,0.010058855272121865,0.7727565650957595,0.19318914127393988
